sma,rsi,sto,target
257.3821428571428,48.72611464968087,15.789473684210131,0
257.355,43.910256410256494,0.0,0
257.3228571428571,42.94670846395002,0.0,0
257.3178571428571,48.85993485342031,14.130434782607956,0
257.3157142857143,49.50495049504995,14.130434782607956,0
257.28142857142853,41.54929577464733,0.0,0
257.22571428571433,34.645669291338905,0.0,0
257.175,35.62753036437272,0.0,0
257.1457142857143,41.89723320158157,18.181818181818706,0
257.0907142857143,34.78260869565237,0.0,0
257.0607142857143,40.36697247706388,0.0,0
257.00428571428574,28.176795580109957,30.30303030303004,0
256.9714285714286,34.45945945945974,30.7692307692301,0
256.94571428571425,38.46153846153762,82.85714285714054,0
256.94,46.87500000000041,93.10344827586748,0
256.92857142857144,44.11764705882428,17.24137931035091,0
256.9307142857143,51.18110236220378,34.48275862068222,0
256.9242857142857,46.08695652173995,37.93103448276808,0
256.9171428571429,45.6896551724127,34.48275862068222,0
256.9028571428572,42.0634920634921,0.0,0
256.89714285714285,47.10144927536277,28.57142857143244,0
256.8964285714286,49.61832061068736,28.57142857143244,0
256.88178571428574,41.04803493449588,24.999999999993232,0
256.86607142857144,40.51724137930891,0.0,0
256.8560714285714,44.35483870967801,15.686274509812224,0
256.8485714285714,45.88235294117568,61.7647058823536,0
256.845,48.12030075187925,72.54901960784532,0
256.81714285714287,36.91275167785288,24.48979591836782,0
256.8121428571429,48.02259887005673,100.0,0
256.8235714285714,55.12820512820392,100.0,0
256.82214285714286,49.39024390243962,69.76744186046665,0
256.82714285714286,52.02312138728296,93.02325581395996,0
256.8235714285714,48.648648648649896,62.7906976744266,0
256.83,52.63157894736754,41.86046511628,0
256.8092857142857,42.16216216216195,0.0,0
256.79714285714283,45.685279187817045,23.529411764707195,0
256.79321428571427,48.66180048661926,43.137254901966905,0
256.80321428571426,53.76344086021608,43.137254901966905,0
256.79321428571427,46.464646464645504,3.921568627447484,0
256.7957142857143,50.81206496519775,84.31372549019892,0
256.7785714285714,44.82758620689672,41.176470588232014,0
256.77964285714285,50.361445783132176,42.15686274509389,0
256.7725,47.44897959183635,78.43137254901656,0
256.7475,42.009132420092506,33.33333333333728,0
256.7375,46.728971962617294,50.0,0
256.7053571428572,39.999999999999496,6.976744186040055,0
256.7053571428572,50.0,81.3953488372133,0
256.69678571428574,47.656250000000064,32.558139534880034,0
256.7142857142857,55.09355509355476,54.878048780490005,0
256.73,54.62184873949486,78.04878048779845,0
256.75142857142856,56.09756097560845,100.0,0
256.75,49.6402877697835,36.000000000001364,0
256.79,59.4594594594592,100.0,0
256.7735714285714,46.07508532423186,30.90909090909316,0
256.77428571428567,50.18315018315106,34.545454545463755,0
256.7789285714286,51.16696588868937,45.45454545454452,0
256.7839285714286,51.25448028673921,80.00000000000827,0
256.79535714285714,52.9629629629622,52.72727272727536,0
256.7910714285714,48.91304347826089,27.27272727273291,0
256.82107142857143,57.4468085106383,70.45454545454633,0
256.8125,47.79411764705877,20.454545454552797,0
256.80321428571426,47.61904761904772,0.0,0
256.7864285714286,45.52380952380926,0.0,0
256.7757142857143,47.2324723247237,31.57894736842263,0
256.7242857142857,37.6712328767129,0.0,0
256.7157142857143,47.91666666666658,35.89743589743365,0
256.6642857142857,36.76470588235334,8.955223880597142,0
256.6392857142857,42.55319148936233,7.462686567165698,0
256.61285714285714,42.06008583690953,7.462686567165698,0
256.58142857142855,40.35087719298263,5.970149253725772,0
256.54285714285714,37.614678899082136,20.0,0
256.5107142857143,39.2344497607657,10.769230769230097,0
256.4792857142857,39.423076923076906,0.0,0
256.4457142857143,38.53658536585445,48.97959183673564,0
256.41,37.98076923076946,0.0,0
256.39,42.47311827957069,0.0,0
256.37,42.47311827957069,0.0,0
256.3378571428572,36.68639053254469,2.857142857140537,0
256.3328571428572,47.32824427480943,0.0,0
256.305,31.775700934580925,0.0,0
256.28714285714284,36.55913978494716,0.0,0
256.2685714285714,36.17021276595655,0.0,0
256.26000000000005,44.44444444444503,35.897435897443,0
256.2364285714286,37.20930232558334,0.0,0
256.2057142857143,32.231404958678766,0.0,0
